ID_Cabang,Nama_Cabang,Alamat,Kota_Kabupaten,Provinsi,Rating,Jumlah_Review,Telepon,Status_IMB,Sewa_Mulai,Sewa_Berakhir,Sisa_Hari_Sewa,Status_Sertifikat_Halal,Halal_Exp,Tingkat_Sengketa,Deskripsi_Sengketa,Tanggal_Update,URL_Maps
GCN-0037,Mie Gacoan by bulek cabang simpang kiambang,"Alamat: Jalan sudirman no 18 simpang kiambang jorong, kubu rajo, Kec. Lima Kaum, Kabupaten Tanah Datar",Kabupaten Tanah Datar,Sumatra Barat,,,Telepon: 0852-1083-3815,Bermasalah,2022-10-27,2026-03-11,-13,Tersertifikasi,2027-06-05,Medium,Mediasi Aktif,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+by+bulek+cabang+simpang+kiambang/data=!4m7!3m6!1s0x2fd52d005774dbe7:0x1d10dc12ac560ce9!8m2!3d-0.4663056!4d100.5363333!16s%2Fg%2F11myv_vppt!19sChIJ59t0VwAt1S8R6QxWrBLcEB0?authuser=0&hl=id&rclk=1
GCN-0235,Mie Gacoan - Manukan,"Alamat: Jl. Raya Manukan Wetan No.38, Manukan Wetan, Kec. Tandes, Surabaya, Jawa Timur 60185",,Jawa Timur,4.7,,,In Progress,2021-10-15,2026-03-14,-10,Tersertifikasi,2026-09-09,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+-+Manukan/data=!4m7!3m6!1s0x2dd7ff52e038fd7b:0xd01c82907fb15c7b!8m2!3d-7.2574254!4d112.6722082!16s%2Fg%2F11st6bx8h6!19sChIJe_044FL_1y0Re1yxf5CCHNA?authuser=0&hl=id&rclk=1
GCN-0283,Mie Gacoan Ketapang R. Suprapto,"Alamat: 5X79+423, Jl. R. Suprapto, Sampit, Kec. Delta Pawan, Kabupaten Ketapang, Kalimantan Barat 78811",Kabupaten Ketapang,Kalimantan Barat,4.9,,,In Progress,2023-02-27,2026-03-17,-7,Tersertifikasi,2027-02-05,Medium,Mediasi Aktif,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Ketapang+R.+Suprapto/data=!4m7!3m6!1s0x2e0519002cf172cd:0x82e41a04040ff2ea!8m2!3d-1.8371677!4d109.9675593!16s%2Fg%2F11m6p6s6qb!19sChIJzXLxLAAZBS4R6vIPBAQa5II?authuser=0&hl=id&rclk=1
GCN-0318,Mie Gacoan Sindulang Dua,"Alamat: Jl. Boulevard II, Sindulang Dua, Kec. Tuminting, Kota Manado, Sulawesi Utara",Kota Manado,Sulawesi Utara,4.8,,,Approved,2023-07-01,2026-03-20,-4,Tersertifikasi,2026-12-03,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Sindulang+Dua/data=!4m7!3m6!1s0x32879f00027f0da1:0xe039286f2d6beeb5!8m2!3d1.50472!4d124.8429219!16s%2Fg%2F11yc767hf5!19sChIJoQ1_AgCfhzIRte5rLW8oOeA?authuser=0&hl=id&rclk=1
GCN-0238,Mie Gacoan Pamularsih Raya,"Alamat: Jl. Pamularsih Raya No.106, Gisikdrono, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50149",Kota Semarang,Jawa Timur,4.7,,,Approved,2025-03-22,2026-03-25,1,Tersertifikasi,2027-01-09,Medium,Mediasi Aktif,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Pamularsih+Raya/data=!4m7!3m6!1s0x2e708bcf3886d307:0x525ecfbed30c9a94!8m2!3d-6.9878383!4d110.3872871!16s%2Fg%2F11s0v7k94h!19sChIJB9OGOM-LcC4RlJoM077PXlI?authuser=0&hl=id&rclk=1
GCN-0359,Outlet Mie Gacoanku,"Alamat: 28VG+42H, Jl. Nangka, Malawili, Kec. Aimas, Kabupaten Sorong, Papua Barat Daya 98414",Kabupaten Sorong,Papua Barat,5.0,,,Approved,2023-08-16,2026-03-25,1,Tersertifikasi,2026-09-22,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Outlet+Mie+Gacoanku/data=!4m7!3m6!1s0x2d5bff0062bc1861:0x5a1f9fa3440d074d!8m2!3d-0.9571845!4d131.325103!16s%2Fg%2F11y2cmggcd!19sChIJYRi8YgD_Wy0RTQcNRKOfH1o?authuser=0&hl=id&rclk=1
GCN-0329,Mie Gacoan Gorontalo - Nani Wartabone,"Alamat: Jl. Nani Wartabone No.05, Heledulaa Sel., Kec. Kota Tim., Kota Gorontalo, Gorontalo 96134",Kota Gorontalo,Gorontalo,4.9,,,Approved,2023-02-17,2026-04-10,17,Tersertifikasi,2027-03-06,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Gorontalo+-+Nani+Wartabone/data=!4m7!3m6!1s0x32792b005d056677:0x99ca0355850af325!8m2!3d0.5392894!4d123.0611433!16s%2Fg%2F11wvzjcp69!19sChIJd2YFXQAreTIRJfMKhVUDypk?authuser=0&hl=id&rclk=1
GCN-0302,Mie Gacoan - Raya Batulicin,"Alamat: Jl. Raya Batulicin, RT.14/RW.03, Batulicin, Kec. Batulicin, Kabupaten Tanah Bumbu, Kalimantan Selatan 72271",Kabupaten Tanah Bumbu,Kalimantan Tengah,4.7,,Telepon: 0881-0246-96862,Approved,2023-11-13,2026-04-21,28,Dalam Proses,2026-05-22,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+-+Raya+Batulicin/data=!4m7!3m6!1s0x2de8b714f7c85119:0x9a2973ecf6efe99b!8m2!3d-3.4556489!4d116.0001131!16s%2Fg%2F11m6x9v8jx!19sChIJGVHI9xS36C0Rm-nv9uxzKZo?authuser=0&hl=id&rclk=1
GCN-0241,Mie Gacoan Kuwik,"Alamat: 85CW+CJM, Kuwik, Kec. Kunjang, Kabupaten Kediri, Jawa Timur 64156",Kabupaten Kediri,Jawa Timur,,,,Approved,2024-12-05,2026-04-22,29,Belum Tersertifikasi,2027-03-24,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Kuwik/data=!4m7!3m6!1s0x2e7843006e03a30d:0xc3588156c612099f!8m2!3d-7.6789034!4d112.1965624!16s%2Fg%2F11yym86r5w!19sChIJDaMDbgBDeC4RnwkSxlaBWMM?authuser=0&hl=id&rclk=1
GCN-0272,Mie Gacoan Jember,"Alamat: Jl. Sumatra No.83, Pagah, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121",Kabupaten Jember,Nusa Tenggara Barat,4.5,,,In Progress,2022-12-23,2026-04-24,31,Dalam Proses,2026-08-16,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Jember/data=!4m7!3m6!1s0x2dd6959d043247a7:0x20d18350312adedd!8m2!3d-8.16323!4d113.7067094!16s%2Fg%2F11t4dc_7sx!19sChIJp0cyBJ2V1i0R3d4qMVCD0SA?authuser=0&hl=id&rclk=1
